É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:37:15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX,ê¬êX
îNåé,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
Jan-14,-1.6,1,-4.4,9.8,-10.9,168,0,8,0,27.5,0,40.5,0,14,0,78,1016
Feb-14,-1.3,1.8,-4.1,7.5,-7.9,88.5,0,5,0,20.5,0,76.9,0,26,0,76,1019.7
Mar-14,2.5,6,-0.7,17,-5,145.5,0,8,0,23.5,0,139.2,0,38,0,72,1013.6
Apr-14,8.8,14.8,3.3,25.8,-0.9,14,0,2,0,5.5,0,259.5,0,65,0,55,1014.7
May-14,14.6,20.4,10,31.3,5.1,46,0,7,0,15,0,206.8,0,46,0,69,1009
Jun-14,18.1,22.5,15.3,29.8,13.3,122,0,14.5,0,40,0,168.6,0,37,0,85,1007.5
Jul-14,23.2,27.8,19.5,33.9,16,107,0,15,0,77.5,0,204.4,0,45,0,78,1007.8
Aug-14,23.6,27.8,20.4,33.8,15.1,274,0,32,0,118,0,132.1,0,31,0,80,1009.4
Sep-14,19.2,24.6,14.8,30.1,10.2,70,0,25,0,25,0,208.7,0,56,0,73,1012.2
Oct-14,12.8,18,7.5,26.5,2.4,146.5,0,7,0,50.5,0,170.6,0,50,0,73,1017.5
Nov-14,8.1,12.4,4,21.9,-0.7,63.5,0,6,0,18,0,102.2,0,34,0,72,1017.1
Dec-14,0,2.7,-2.5,13.7,-5.7,238.5,0,4,0,31,0,25.5,0,9,0,84,1011.3
Jan-15,-0.2,2.5,-2.7,8.6,-6.7,133.5,0,5,0,27,0,43,0,15,0,82,1013.5
Feb-15,1.2,4.3,-1.5,9.1,-7.3,45,0,4.5,0,14,0,96.4,0,33,0,71,1013.5
Mar-15,4.6,8.8,0.9,18.8,-3.5,56.5,0,3.5,0,13,0,141,0,38,0,71,1014.5
Apr-15,9.9,15.2,5.1,27.8,-2.6,81,0,6,0,20,0,189.8,0,48,0,66,1015.7
May-15,15.1,20.4,10.1,28.4,5.7,69.5,0,7.5,0,32,0,255,0,57,0,67,1008.2
Jun-15,18.1,23,14.3,30.3,10.7,57.5,0,5.5,0,24,0,208,0,46,0,76,1008.1
Jul-15,22.8,27.3,19.3,33.4,13.8,65,0,17.5,0,32,0,179.3,0,39,0,77,1008.3
Aug-15,23.6,27.9,20.4,36.5,16.9,72,0,9.5,0,23.5,0,184.6,0,43,0,77,1009.8
Sep-15,19.4,24.1,15.7,29.3,10.4,65,0,8,0,13,0,153.4,0,41,0,76,1013
Oct-15,12.2,17,7.8,24.4,2.8,76.5,0,5.5,0,15,0,147.6,0,43,0,69,1014.2
Nov-15,8.4,12.3,4.7,20.6,-0.7,147.5,0,6.5,0,61,0,88.5,0,30,0,76,1021.3
Dec-15,3.1,6,0.4,12,-6.1,134.5,0,4,0,22.5,0,51.1,0,18,0,76,1018
Jan-16,-0.8,1.5,-2.8,5.6,-7,148.5,0,4.5,0,34.5,0,46.8,0,16,0,79,1015.3
Feb-16,-0.1,3.5,-3,14.7,-6,77,0,2.5,0,9.5,0,73.2,0,24,0,78,1017.5
Mar-16,4,8.7,-0.1,18.4,-4.8,54,0,4.5,0,10,0,152.3,0,41,0,69,1018
Apr-16,9.2,14.1,4.9,20.8,-0.2,93,0,5.5,0,17.5,0,162.3,0,41,0,66,1012.9
May-16,15.4,21.1,10.4,29,1.6,53.5,0,8,0,22,0,253.3,0,57,0,68,1011.9
